City Number,City,Country,Lat,Long,Humidity,Temperature,Max Temp,Cloudiness,Wind Speed
0,Saint Paul Harbor,US,57.79,-152.41,75,44.6,44.6,90,6.93
1,Khatanga,RU,71.97,102.5,85,7.18,7.18,50,8.79
2,Ushuaia,AR,-54.8,-68.3,75,42.8,42.8,75,28.86
3,Saskylakh,RU,71.92,114.08,97,20.79,20.79,100,6.51
4,Port Blair,IN,11.67,92.75,83,80.53,80.53,100,14.67
5,Butaritari,KI,3.07,172.79,72,82.04,82.04,99,18.1
6,Amuntai,ID,-2.42,115.25,98,73.45,73.45,37,0.4
7,Hasaki,JP,35.73,140.83,100,49.35,50.0,20,3.36
8,Ambunti,PG,-4.24,142.84,98,72.84,72.84,100,0.96
9,Kapaa,US,22.08,-159.32,88,79.16,82.0,90,6.93
10,Nanortalik,GL,60.14,-45.24,95,39.0,39.0,92,8.46
11,Castro,BR,-24.79,-50.01,74,69.03,69.03,100,7.49
12,Albany,US,42.6,-73.97,42,60.57,62.01,100,1.01
13,Punta Arenas,CL,-53.15,-70.92,57,48.09,48.2,40,23.04
14,Chui,UY,-33.7,-53.46,62,75.88,75.88,0,7.63
15,Bongor,TD,10.28,15.37,45,80.06,80.06,0,0.65
16,George Town,MY,5.41,100.34,88,80.29,80.6,20,4.7
17,Jamestown,US,42.1,-79.24,41,57.34,57.99,20,13.87
18,Tasiilaq,GL,65.61,-37.64,91,32.0,32.0,41,10.29
19,Lebu,CL,-37.62,-73.65,65,55.31,55.31,0,7.02
20,Bredasdorp,ZA,-34.53,20.04,77,60.8,60.8,100,2.24
21,Vzmorye,RU,54.7,20.24,75,46.04,48.99,20,8.95
22,Thompson,CA,55.74,-97.86,86,30.2,30.2,75,6.93
23,Comodoro Rivadavia,AR,-45.87,-67.5,24,68.0,68.0,40,28.86
24,Ratnagiri,IN,16.98,73.3,83,78.66,78.66,99,1.72
25,Kizner,RU,56.27,51.51,91,47.75,47.75,98,12.62
26,Rikitea,PF,-23.12,-134.97,81,74.91,74.91,100,19.8
27,The Valley,AI,18.22,-63.06,88,82.63,86.0,40,5.82
28,Mataura,NZ,-46.19,168.86,95,48.0,48.0,100,3.0
29,Celestún,MX,20.87,-90.4,67,85.59,85.59,9,14.54
30,Faanui,PF,-16.48,-151.75,81,79.2,79.2,8,9.48
31,Padang,ID,-0.95,100.35,77,78.17,78.17,98,3.91
32,Hilo,US,19.73,-155.09,88,71.44,73.4,90,10.29
33,Saldanha,ZA,-33.01,17.94,77,59.0,59.0,100,9.17
34,Upernavik,GL,72.79,-56.15,93,31.55,31.55,6,10.11
35,Bemidji,US,47.47,-94.88,58,29.1,30.0,90,12.75
36,Yellowknife,CA,62.46,-114.35,92,27.03,28.99,90,6.93
37,Bambous Virieux,MU,-20.34,57.76,78,72.73,73.4,20,6.93
38,Awjilah,LY,29.11,21.29,22,79.99,79.99,72,3.27
39,Hofn,IS,64.25,-15.21,74,43.27,43.27,80,17.11
40,Krasnogvardeyskiy,RU,57.38,62.32,81,36.36,36.36,100,10.04
41,Kruisfontein,ZA,-34.0,24.73,82,55.99,55.99,4,1.01
42,Raja,SS,8.46,25.68,84,73.11,73.11,57,3.49
43,Torbay,CA,47.67,-52.73,93,53.33,54.0,90,9.17
44,Galle,LK,6.04,80.22,84,79.59,79.59,100,11.36
45,Bengkulu,ID,-3.8,102.27,93,75.06,75.06,100,6.67
46,Inhambane,MZ,-23.86,35.38,73,73.2,73.4,20,11.41
47,Vaini,TO,-21.2,-175.2,88,69.8,69.8,75,15.46
48,Barrow,US,71.29,-156.79,79,21.2,21.2,40,13.87
49,Korla,CN,41.76,86.15,90,48.0,48.0,5,4.0
50,Lagoa,PT,39.05,-27.98,67,62.74,62.74,70,18.25
51,North Bend,US,43.41,-124.22,67,64.54,71.01,90,6.44
52,Atuona,PF,-9.8,-139.03,77,77.76,77.76,3,18.88
53,Pevek,RU,69.7,170.31,94,23.85,23.85,96,16.71
54,Hobart,AU,-42.88,147.33,57,48.65,50.0,75,9.17
55,Pristina,XK,42.67,21.17,70,43.12,44.01,20,2.24
56,Bartica,GY,6.4,-58.62,88,78.8,78.8,40,9.17
57,Lompoc,US,34.64,-120.46,60,70.99,73.4,1,12.75
58,Westport,US,41.14,-73.36,51,61.12,62.6,1,10.29
59,Batouri,CM,4.43,14.37,88,71.24,71.24,42,0.51
60,Hithadhoo,MV,-0.6,73.08,77,83.37,83.37,100,15.61
61,Provideniya,RU,64.38,-173.3,80,35.6,35.6,75,2.24
62,Nuuk,GL,64.18,-51.72,62,51.8,51.8,40,21.92
63,Leningradskiy,RU,69.38,178.42,88,22.37,22.37,0,6.67
64,Suez,EG,29.97,32.53,70,73.02,73.02,0,11.5
65,San Cristobal,VE,7.77,-72.22,30,96.8,96.8,20,19.46
66,Erzincan Province,TR,39.75,39.5,57,50.0,50.0,99,2.24
67,Guerrero Negro,MX,27.98,-114.06,42,84.15,84.15,94,10.58
68,Tonbridge,GB,51.19,0.28,92,50.0,50.0,91,2.55
69,Iqaluit,CA,63.75,-68.51,98,32.0,32.0,90,21.92
70,Zmiyiv,UA,49.7,36.36,75,42.4,42.8,1,4.47
71,Avarua,CK,-21.21,-159.78,78,77.0,77.0,92,8.05
72,Araouane,ML,18.9,-3.53,15,93.63,93.63,0,10.47
73,New Norfolk,AU,-42.78,147.06,57,46.85,50.0,75,9.17
74,Hong Kong,HK,22.29,114.16,76,70.79,73.99,27,1.01
75,Murgab,TM,37.5,61.97,35,57.2,57.2,0,6.93
76,Pagudpud,PH,18.56,120.79,82,78.8,78.8,50,12.93
77,College,US,64.86,-147.8,72,17.83,19.99,90,1.12
78,Dikson,RU,73.51,80.55,90,27.63,27.63,99,29.97
79,Tomatlán,MX,19.93,-105.25,62,90.86,90.86,63,7.27
80,Cape Town,ZA,-33.93,18.42,77,60.26,62.01,40,14.99
81,Palembang,ID,-2.92,104.75,92,74.82,74.82,21,2.64
82,Wellsford,NZ,-36.28,174.52,83,60.39,62.01,2,4.0
83,Saint-Philippe,RE,-21.36,55.77,68,66.87,69.8,4,6.93
84,Angoche,MZ,-16.23,39.91,85,73.26,73.26,0,7.25
85,Shetpe,KZ,44.17,52.12,28,60.4,60.4,0,16.4
86,Yenagoa,NG,4.92,6.26,92,76.82,76.82,29,4.9
87,San Patricio,US,28.02,-97.52,46,88.92,91.4,20,16.11
88,Arona,ES,28.1,-16.68,78,70.99,72.0,40,10.29
89,Nishihara,JP,26.18,127.76,94,74.28,77.0,40,4.7
90,Yumen,CN,40.28,97.2,45,44.47,44.47,100,19.95
91,Norman Wells,CA,65.28,-126.83,78,15.8,15.8,20,6.93
92,Saint-François,FR,46.42,3.91,87,44.29,46.0,70,3.27
93,East London,ZA,-33.02,27.91,71,64.99,64.99,67,6.91
94,Abū Zabad,SD,12.35,29.25,42,83.19,83.19,0,7.87
95,Port Elizabeth,ZA,-33.92,25.57,87,59.0,59.0,0,9.17
96,Yangi Marg`ilon,UZ,40.43,71.72,58,53.6,53.6,0,9.17
97,Sangar,RU,63.92,127.47,96,14.34,14.34,97,5.91
98,Ilulissat,GL,69.22,-51.1,48,42.8,42.8,100,20.8
99,El'brus,RU,43.26,42.64,60,43.41,43.41,39,4.38
100,Ponta do Sol,PT,32.67,-17.1,83,68.81,73.4,75,26.4
